Date,Open,High,Low,Close,Volume,Total Income From Operations,Net P/L After M.I & Associates,Basic EPS,EPS_TTM,Annualized_Sales,Annualized_Profit,Equity Share Capital,Reserves,Borrowings,Total,Avg_Assets,Cash from Operating Activity,Daily_PE,Total_Equity,Net_Margin,Asset_Turnover,Equity_Multiplier,DuPont_ROE,Debt_to_Equity,Earnings_Quality,Earnings_Yield
2020-01-15,609.2233645040944,609.9573909159484,603.3982113725496,608.2051391601562,11787448.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.997117443197576,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.11467096337691
2020-01-16,607.16334918936,611.4019374828233,605.8846272593686,609.8154296875,7150400.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,9.020938308986686,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.085321346270566
2020-01-17,607.0211887708494,608.513001967246,602.3563603023184,605.3162841796875,16918814.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.954382902066381,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.16771541866087
2020-01-20,617.9609835885461,617.9609835885461,593.1686756533786,594.3052978515625,22178450.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.791498488928438,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.374625170661732
2020-01-21,591.9848038717975,591.9848038717975,586.4911964540704,589.3090209960938,14984804.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.717589067989552,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.47106146207256
2020-01-22,591.0612951746068,594.3527073618872,584.5968099426914,587.6514282226562,18368310.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.693068464832193,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.503417970829286
2020-01-23,587.248887040562,590.4929519914465,582.9865967313965,589.5457763671875,11508920.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.721091366378513,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.466454804672644
2020-01-24,590.0904267767455,593.8791293563715,586.8226592396154,589.4037475585938,11831756.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.718990348499906,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.46921787993548
2020-01-27,584.8810010611223,584.8810010611223,573.8700834298097,574.5567626953125,18888552.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.499360394901071,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.765591215545102
2020-01-28,577.2089231802337,581.4712140405081,574.5804873586566,579.2926635742188,13412158.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.569418100210335,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,11.669403783384722
